时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	高度(m)	气压(kPa)	版本号()	电量(%)
2026-06-18T17:21:54.843	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.113	0.167	-0.969	0.305	0.854	-2.502	170.87	-7.50	119.20	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:54.900	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.109	0.158	-0.964	0.183	0.671	0.305	170.86	-7.59	119.24	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.019	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.125	0.171	-0.968	0.000	0.732	-0.732	170.88	-7.67	119.27	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.109	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.122	0.174	-0.970	-0.244	1.160	0.732	170.86	-7.77	119.32	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.229	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.125	0.168	-0.969	-0.122	0.854	1.282	170.84	-7.89	119.32	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.320	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.127	0.169	-0.969	-0.244	0.183	1.160	170.85	-7.92	119.31	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.440	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.125	0.164	-0.971	-0.916	0.854	1.038	170.82	-7.97	119.37	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.499	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.126	0.165	-0.968	-0.183	0.671	0.366	170.78	-8.05	119.40	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.620	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.126	0.170	-0.964	-0.305	0.916	-2.075	170.73	-8.11	119.61	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.709	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.126	0.166	-0.963	0.061	1.038	-0.732	170.69	-8.20	119.85	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.830	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.127	0.163	-0.966	0.000	0.305	-4.761	170.68	-8.24	120.03	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:55.919	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.148	0.152	-0.967	-0.122	1.648	-8.484	170.69	-8.26	120.50	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.070	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.191	0.176	-0.947	7.629	6.348	-28.259	170.77	-8.32	122.35	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.099	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.184	0.144	-0.949	13.550	11.841	-49.805	171.11	-8.55	126.64	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.250	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.175	0.092	-0.942	21.912	17.456	-83.679	171.67	-8.87	133.80	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.309	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.221	0.088	-0.998	35.034	28.931	-95.642	173.12	-10.01	143.37	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.429	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.216	0.058	-0.978	31.921	26.917	-91.919	174.92	-11.78	153.59	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.519	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.192	0.120	-1.023	19.165	15.259	-54.871	175.80	-13.57	161.20	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.641	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.182	0.110	-0.963	7.263	0.732	-25.879	175.89	-14.06	166.32	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.729	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.261	0.115	-0.964	-2.014	-13.733	-9.094	175.92	-13.31	168.08	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.850	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.280	0.165	-0.965	-7.751	-23.376	-16.907	175.62	-11.33	168.33	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:56.909	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.193	0.075	-0.943	-9.644	-12.146	-4.944	174.28	-9.32	169.56	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.029	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.159	0.084	-0.976	8.728	-2.014	-11.719	173.58	-8.37	170.43	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.119	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.111	0.076	-0.965	3.174	6.409	-20.081	173.74	-8.39	172.64	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.240	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.115	0.067	-0.988	2.502	5.493	-36.804	173.45	-8.65	175.80	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.332	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.110	0.070	-0.973	13.245	2.563	-56.274	173.77	-8.56	-179.36	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.452	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.131	0.096	-0.981	20.569	4.944	-64.819	174.57	-8.28	-173.19	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.539	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.125	0.083	-0.988	18.921	8.301	-62.317	175.50	-8.44	-166.57	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
2026-06-18T17:21:57.659	WT901BLE67(FA:2B:7B:2B:4F:8C)	0.100	0.139	-0.972	12.268	2.380	-54.321	176.20	-8.73	-160.76	null	null	null	null	null	null	null	null	null	null	10080.1.22	75
